Acura Columbus,43017,43017,OH,"4340 Dublin Granville Rd.  Dublin, OH 43017",7487
Advantage Lincoln,43420,43420,OH,885 Hagerty Drive Fremont OH 43420,27589
Al Baumann Chevrolet Buick,43420,43420,OH,"2379 W.  Street, Fremont, OH 43420",17475
Al Baumann Fremont,43420,43420,OH,"2379 West  St. Fremont, OH 43420",7678
Alfa Romeo Of Toledo,43615,43615,OH,6000 W. Central Ave. Toledo OH 43615,33730
Al Smith Chrysler Dodge Jeep RAM,43402,43402,OH,"1303 N. Main St   Bowling Green, OH 43402",3854
"Al Smith Chrysler Dodge Jeep Ram, Inc.",43402,43402,OH,1303 North Main St Bowling Green OH 43402,32250
Audi Columbus,43213,43213,OH,341 N Hamilton Rd Columbus OH 43213,35744
Audi Columbus,43213,43213,OH,341 N Hamilton Rd Columbus OH 43213,4690
Audi Dublin,43017,43017,OH,"5875 Venture Drive   Dublin, OH 43017",23702
Audi Dublin,43017,43017,OH,"5875 Venture Drive   Dublin, OH 43017",4691
Audi Dublin,43017,43017,OH,"5875 Venture Drive   Dublin, OH 43017",35274
Audi Sylvania,43560,43560,OH,"5570 Monroe Street   Sylvania, OH 43560",10660
Auto Choice Chevrolet Buick,43906,43906,OH,"100 E. 26th Street Bellaire, OH 43906",21285
AutoMax Toledo,43616,43616,OH,2255 Navarre Ave Oregon OH 43616,29894
Ballas Buick GMC,43615,43615,OH,5715 W Central Avenue Toledo OH 43615,38228
Ballas Buick GMC,43615,43615,OH,5715 W Central Avenue Toledo OH 43615,650
Baumann Auto Center,43452,43452,OH,"625 Southeast Catawba Road Port Clinton, OH 43452",23735
Baumann Auto Center,43452,43452,OH,"625 Southeast Catawba Road Port Clinton, OH 43452",23220
Baumann Chevrolet Genoa,43430,43430,OH,"22215 W ST RTE 51 , Genoa, OH 43430",272
Baumann Chevrolet Genoa,43430,43430,OH,"22215 W ST RTE 51 , Genoa, OH 43430",38881
Baumann Chrysler Jeep Dodge Fremont,43420,43420,OH,"2577 West  Street   Fremont, OH 43420",3922
Baumann Ford Genoa,43430,43430,OH,22110 West  Route 51 Genoa OH 43430,30161
Beford Ford,43160,43160,OH,1700 Columbus Ave Washington Court House OH 43160,28840
Belmont Dodge Chrysler Jeep Ram,43713,43713,OH,"780 East Main Street   Barnesville, OH 43713",14685
BMW of Toledo,43617,43617,OH,7600 West Central Avenue Toledo OH 43617,26043
BMW of Toledo,43617,43617,OH,7600 West Central Avenue Toledo OH 43617,32185
Bobb Automotive - Pre-Owned Superstore,43228,43228,OH,"4639 W Broad St.  Columbus, \r OH 43228",1828
Bob-Boyd Alfa Romeo FIAT,43232,43232,OH,"5665 Scarborough Blvd   Columbus, OH 43232",4398
Bob-Boyd Auto Family,43130,43130,OH,2840 N. Columbus Street Lancaster OH 43130,32322
Bob-Boyd Chrysler Jeep Dodge,43130,43130,OH,2810 N Columbus Street Lancaster OH 43130,32266
Bob-Boyd Chrysler Jeep Dodge Ram,43130,43130,OH,"2810 N Columbus Street   Lancaster, OH 43130",3589
Bob - Boyd Ford Inc,43130,43130,OH,"2840 N. Columbus Street   Lancaster, OH 43130",1978
"Bob-Boyd Lincoln, Inc.",43235,43235,OH,"2445 Billingsley Rd.   Columbus, OH 43235",9960
Bob-Boyd Mazda of Lancaster,43130,43130,OH,"2840 North Columbus Street   Lancaster, OH 43130",15165
Bobby Layman Cadillac GMC,43112,43112,OH,"3733 Claypool St NW, Carroll, OH 43112",11036
Bobby Layman Cadillac GMC,43112,43112,OH,"3733 Claypool St NW, Carroll, OH 43112",35379
4330 North I-35,76240,76240,TX,"4330 North I-35 Gainesville, TX 76240",19734
Alfa Romeo FIAT of Fort Worth,76108,76108,TX,400 W Loop 820 S Fort Worth TX 76108,32987
Alfa Romeo of Fort Worth,76108,76108,TX,400 W Loop 820 S Fort Worth TX 76108,31065
All American Chevrolet of Killeen,76541,76541,TX,"1802 E. Central Texas Expressway, Killeen, TX, 76541",923
All American Chevrolet of Killeen,76541,76541,TX,"1802 E. Central Texas Expressway, Killeen, TX, 76541",36846
All American Chevrolet of San Angelo,76903,76903,TX,203 North Bryant Blvd San Angelo TX 76903,39458
All American Chevrolet of San Angelo,76903,76903,TX,203 North Bryant Blvd San Angelo TX 76903,979
All American Chrysler Jeep Dodge of San Angelo,76901,76901,TX,"4310 Sherwood Way   San Angelo, TX 76901",4630
Allen Samuels Alfa Romeo,76712,76712,TX,"201 W Loop 340   Waco, TX 76712",4556
Allen Samuels Chrysler Dodge Jeep Ram Waco,76712,76712,TX,"201 West Loop 340   Waco, TX 76712",4176
Allen Samuels Dodge Chrysler Jeep Ram FIAT,76712,76712,TX,201 W. LOOP 340 Waco TX 76712,31078
Allen Samuels Dodge Chrysler Jeep Ram Waco,76712,76712,TX,"201 W Loop 340   Waco, TX 76712",4557
Allen Samuels Fiat,76712,76712,TX,"201 W Loop 340   Waco, TX 76712",4551
Apple Sport Chevrolet,76661,76661,TX,"1635 N Highway 6 Bypass, Marlin, TX, 76661",927
Audi Fort Worth,76107,76107,TX,"116 University Drive   Fort Worth, TX 76107",4679
Audi Fort Worth,76107,76107,TX,"116 University Drive   Fort Worth, TX 76107",35700
Audi Grapevine,76051,76051,TX,1260 E  Hwy 114 Grapevine TX 76051,30070
Autobahn BMW Fort Worth,76107,76107,TX,2828 White Settlement Road Fort Worth TX 76107,39931
Autobahn BMW Fort Worth,76107,76107,TX,2828 White Settlement Road Fort Worth TX 76107,37835
Autobahn Jaguar Fort Worth,76107,76107,TX,3000 White Settlement Road Fort Worth TX 76107,37607
Autobahn Porsche,76107,76107,TX,2815 White Settlement Rd Fort Worth TX 76107,39183
Autobahn Porsche,76107,76107,TX,2815 White Settlement Rd Fort Worth TX 76107,38524
Autobahn Pre-Owned Fort Worth,76107,76107,TX,2824 White Settlement Road Fort Worth TX 76107,39855
